atualizacao,id_linha,uf,municipio,empreendimento,eixo,subeixo,modalidade,classificacao,estagio,valor_total_rs,execucao_fisica_pct,ano_prev_conclusao,tipo_executor,link,inclusao_novo_pac,fontes_financiamento,ministerio,atualizacao_str,municipio_upper
2026-03-01,5611,RS,Caibaté,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,17.65,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAIBATÉ
2026-03-01,5615,RS,Caiçara,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAIÇARA
2026-03-01,5652,RS,Camaquã,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,41.18,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMAQUÃ
2026-03-01,5653,RS,Camargo,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMARGO
2026-03-01,5654,RS,Cambará do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMBARÁ DO SUL
2026-03-01,5661,RS,Campestre da Serra,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMPESTRE DA SERRA
2026-03-01,5663,RS,Campina das Missões,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMPINA DAS MISSÕES
2026-03-01,5688,RS,Campo Bom,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,41.18,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMPO BOM
2026-03-01,5711,RS,Campo Novo,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMPO NOVO
2026-03-01,5719,RS,Campos Borges,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAMPOS BORGES
2026-03-01,5748,RS,Candelária,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CANDELÁRIA
2026-03-01,23399,RS,Candelária,Retomada - Construção de Unidade Básica de Saúde - UBS,Saúde,Atenção Primária,Retomada de Obras - Saúde,Obra,Concluído,0.0,100.0,2025,Municipal,,Planejamento Setorial,OGU,MS,2026-03-01,CANDELÁRIA
2026-03-01,5752,RS,Candiota,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CANDIOTA
2026-03-01,23407,RS,Candiota,Retomada - Construção de Unidade Básica de Saúde - UBS,Saúde,Atenção Primária,Retomada de Obras - Saúde,Obra,Concluído,81600.0,100.0,2023,Municipal,,Planejamento Setorial,OGU,MS,2026-03-01,CANDIOTA
2026-03-01,5756,RS,Canguçu,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,11.77,2026,Federal,,Seleção,OGU,MS,2026-03-01,CANGUÇU
2026-03-01,26469,RS,Canguçu,Unidade Odontológica Móvel - UOM,Saúde,Atenção Primária,Seleção 2023 - Unidades Odontológicas Móveis - UOMs,Equipamento,Concluído,379890.0,100.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CANGUÇU
2026-03-01,5761,RS,Canoas,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,11.12,2026,Federal,,Seleção,OGU,MS,2026-03-01,CANOAS
2026-03-01,5767,RS,Canudos do Vale,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CANUDOS DO VALE
2026-03-01,5770,RS,Capão Bonito do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAPÃO BONITO DO SUL
2026-03-01,5771,RS,Capão da Canoa,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,17.65,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAPÃO DA CANOA
2026-03-01,23397,RS,Capão do Cipó,Retomada - Construção de Unidade Básica de Saúde - UBS,Saúde,Atenção Primária,Retomada de Obras - Saúde,Obra,Concluído,0.0,100.0,2025,Municipal,,Planejamento Setorial,OGU,MS,2026-03-01,CAPÃO DO CIPÓ
2026-03-01,5772,RS,Capão do Leão,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAPÃO DO LEÃO
2026-03-01,5774,RS,Capela de Santana,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAPELA DE SANTANA
2026-03-01,5780,RS,Capitão,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAPITÃO
2026-03-01,5791,RS,Caraá,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CARAÁ
2026-03-01,5808,RS,Carazinho,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,17.65,2026,Federal,,Seleção,OGU,MS,2026-03-01,CARAZINHO
2026-03-01,5826,RS,Carlos Gomes,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CARLOS GOMES
2026-03-01,5864,RS,Casca,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CASCA
2026-03-01,5869,RS,Caseiros,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CASEIROS
2026-03-01,5909,RS,Caxias do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,41.18,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAXIAS DO SUL
2026-03-01,38581,RS,Caxias do Sul,Unidades Odontológicas Móveis - UOM - Caxias do Sul/RS,Saúde,Atenção Primária,Seleção 2025 - Unidade Odontológica Móvel - UOM,Equipamento,Em execução,379890.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAXIAS DO SUL
2026-03-01,5919,RS,Centenário,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CENTENÁRIO
2026-03-01,5933,RS,Cerrito,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CERRITO
2026-03-01,5935,RS,Cerro Branco,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CERRO BRANCO
